municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Areiópolis;Sorocaba;Botucatu;   11107;   134784; 12,135050;65,18011;220; 53,720508; 62,69592; 96,19; 95,60; 95,60; 13,3349043; 80,8832888; 23,416264
Cruzália;Marília;Assis;    2161;   131219; 60,721425;65,17025;221; 51,179673; 60,81505; 89,43;100,00;100,00;  5,6777422; 82,3851343; 31,874376
Presidente Bernardes;Presidente Prudente;Presidente Prudente;   13420;   253922; 18,921162;65,15489;222; 48,820327; 58,30721; 86,11; 92,17; 92,17; 13,3382840;100,0000000; 30,323274
Pereira Barreto;Araçatuba;Andradina;   25790;   817570; 31,701047;65,12221;223; 80,580762; 79,15361; 93,06; 80,00; 80,00;  4,0087683; 71,3249332; 32,849574
São José da Bela Vista;Franca;Franca;    8885;   161031; 18,123917;65,11723;224; 96,188748; 93,73041; 95,06; 79,12; 79,12;  0,0000000; 48,1863307; 29,532366
Flórida Paulista;Presidente Prudente;Adamantina;   14282;   196744; 13,775662;65,10446;225; 52,450091; 61,12853; 71,61;100,00;100,00; 11,9842538; 90,5943744; 33,068417
Lupércio;Marília;Marília;    4573;    69516; 15,201400;65,06261;226; 53,720508; 62,69592; 89,67; 97,32; 97,32; 11,2816158; 88,1634212; 20,329417
Altinópolis;Ribeirão Preto;Ribeirão Preto;   16219;   526939; 32,488994;65,05269;227; 89,110708; 91,22257; 87,37; 82,15; 82,15; 13,5478667; 59,6665394; 15,203870
Miguelópolis;Franca;Franca;   21973;  1121079; 51,020753;64,99612;228; 56,987296; 65,04702; 83,47;100,00;100,00; 14,4993707; 76,8868525; 23,078400
Santos;Santos;Santos;  434742; 22532672; 51,829987;64,98965;229; 31,034483; 37,61755;100,00; 97,64; 97,64; 18,5175891; 91,1034746; 46,364125
Cesário Lange;Sorocaba;Itapetininga;   17587;   419188; 23,835105;64,92339;230; 48,820327; 59,24765; 84,48; 78,45; 78,45; 57,3477610; 95,2144584; 17,376948
Rubinéia;São José do Rio Preto;Jales;    3102;    81574; 26,297228;64,90338;231; 52,087114; 62,53918;100,00; 78,41; 78,41; 17,7799585;100,0000000; 30,000768
Parisi;São José do Rio Preto;Votuporanga;    2150;    48813; 22,703721;64,78008;232; 74,773140; 80,87774; 80,86; 79,62; 79,62;  0,0000000; 81,9269441; 40,562850
Platina;Marília;Assis;    3488;    90806; 26,033830;64,77938;233; 53,539020; 62,53918; 74,35;100,00;100,00;  1,8026049; 96,4872089; 29,517008
Patrocínio Paulista;Franca;Franca;   14351;   900987; 62,782175;64,75560;234; 87,295826; 86,83386;100,00; 79,72; 79,72;  0,0000000; 62,9247805; 21,550334
Boracéia;Bauru;Jaú;    4717;   279209; 59,192071;64,74892;235; 45,190563; 54,07524;100,00;100,00;100,00; 13,7576663; 75,2704595; 29,697458
Iracemápolis;Campinas;Limeira;   23264;  1309627; 56,294145;64,74429;236; 66,061706; 76,48903; 98,97;100,00;100,00;  0,0000000; 38,5007000; 37,932888
Mococa;Campinas;São João da Boa Vista;   68994;  2228392; 32,298345;64,72211;237; 50,090744; 60,03135; 98,23; 93,18; 93,18; 17,1337396; 77,6886852; 28,242340
Valinhos;Campinas;Campinas;  124024;  5734500; 46,237019;64,70791;238; 50,816697; 54,23197; 93,10;100,00;100,00; 17,6439478; 70,6758305; 31,194809
Itajobi;São José do Rio Preto;Catanduva;   15246;  1191836; 78,173685;64,68571;239; 72,776770; 75,70533;100,00; 80,00; 76,80;  0,0000000; 57,9610538; 54,242494
Icém;São José do Rio Preto;São José do Rio Preto;    8112;   179057; 22,073102;64,67932;240; 53,720508; 63,00940; 91,33; 91,43; 91,43; 10,0798399; 96,7926690; 19,642172
Pindamonhangaba;São José dos Campos;Taubaté;  164000;  7003490; 42,704207;64,66547;241; 47,731397; 57,99373;100,00; 93,71; 93,71; 19,8652776; 72,8267787; 31,486601
