municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;inv_per_capita_norm;perdas_norm;desempenho_norm
Pederneiras;Bauru;Bauru;   45708;  1723581; 37,708519;61,97239;287; 47,549909; 56,73981; 98,94; 94,99; 94,99;2,450806e+00; 68,6012473; 31,517316
Dourado;Região Administrativa Central;São Carlos;    8909;   595049; 66,791896;61,94349;288; 50,453721; 60,03135; 97,88; 99,50; 99,50;1,243994e+00; 66,8321242; 20,106734
Avaí;Bauru;Bauru;    5337;   263902; 49,447630;61,93561;289; 47,731397; 56,89655; 62,47; 97,99; 97,99;8,511897e-01;100,0000000; 31,555709
Buritizal;Franca;Franca;    4408;   178048; 40,392015;61,92404;290; 51,179673; 60,81505; 81,72;100,00;100,00;1,131372e+00; 83,6069747; 16,939261
Castilho;Araçatuba;Andradina;   20362;  1001129; 49,166536;61,87932;291; 42,286751; 52,19436; 74,71; 98,53; 98,53;9,440176e+00; 76,2886598; 43,054596
Cesário Lange;Sorocaba;Itapetininga;   17587;   419188; 23,835105;61,86588;292; 48,820327; 59,24765; 84,48; 78,45; 78,45;3,288766e+01; 95,2144584; 17,376948
Itaí;Itapeva;Itapeva;   26526;   587796; 22,159240;61,86503;293; 51,542650; 60,65831; 67,65; 98,15; 98,15;2,269960e+00; 92,2998600; 24,199493
Agudos;Bauru;Bauru;   36880;  2063022; 55,938774;61,76659;294; 41,197822;100,00000;100,00; 91,11; 65,67;7,444240e+00; 74,3668067; 14,343853
Orindiúva;São José do Rio Preto;São José do Rio Preto;    6731;   438061; 65,081117;61,76313;295; 49,001815; 56,42633; 86,10; 88,80; 88,80;4,278925e+00; 91,4343897; 29,263611
Americana;Campinas;Campinas;  233868; 10382873; 44,396296;61,72656;296; 65,154265; 64,42006;100,00;100,00; 64,56;3,771906e+00; 62,4538628; 33,452354
Pedregulho;Franca;Franca;   16645;   973303; 58,474196;61,71464;297; 51,179673; 60,97179; 78,35; 94,13; 94,13;5,761210e+00; 89,7289042; 19,465561
Santa Cruz do Rio Pardo;Marília;Ourinhos;   47148;  2042409; 43,319102;61,55730;298; 47,005445; 56,26959; 99,77; 95,37; 95,37;3,690663e+00; 60,0483645; 34,934347
Fartura;Itapeva;Itapeva;   16028;   388647; 24,248003;61,55418;299; 48,457350; 58,15047; 88,80; 93,99; 93,99;3,840193e-01; 79,6359934; 29,025570
Motuca;Região Administrativa Central;Araraquara;    4676;    87132; 18,633875;61,46858;300; 96,007260; 93,57367;100,00; 76,75; 53,35;0,000000e+00; 62,2120402;  9,855640
Cássia dos Coqueiros;Ribeirão Preto;Ribeirão Preto;    2591;   139851; 53,975685;61,38274;301; 49,183303; 60,34483; 81,94; 91,78; 91,78;3,227096e+00; 93,0762377; 19,730477
Pirajuí;Bauru;Bauru;   24973;   450364; 18,034037;61,34391;302; 84,029038; 88,08777; 99,45; 86,38; 31,67;1,848124e-01; 66,1957490; 34,753897
Paulistânia;Bauru;Bauru;    1841;    36487; 19,819120;61,34363;303; 50,272232; 60,03135; 67,25;100,00;100,00;3,802117e+00; 93,8017055; 15,591646
Itatinga;Sorocaba;Botucatu;   20158;   311156; 15,435857;61,32422;304; 51,724138; 60,81505; 83,36; 98,54; 98,54;2,492947e+00; 67,3284969; 27,793135
Itapura;Araçatuba;Andradina;    4802;   101885; 21,217201;61,31141;305; 73,502722; 86,20690; 77,37; 78,12; 78,12;1,833189e-01; 84,5488100; 12,439530
Sertãozinho;Ribeirão Preto;Ribeirão Preto;  122643;  5362996; 43,728513;61,30489;306; 78,039927; 78,99687; 99,64; 80,00; 80,00;4,222476e-01; 52,2082220; 21,131844
Ubirajara;Bauru;Bauru;    4734;    89199; 18,842205;61,29832;307; 50,090744; 59,40439; 76,38; 86,41; 86,41;6,105885e+00;100,0000000; 25,585503
Leme;Campinas;Limeira;  101184;  2978265; 29,434150;61,26843;308; 54,627949; 62,53918; 97,94; 98,32; 98,32;1,954770e+00; 36,5661194; 39,879444
Porto Feliz;Sorocaba;Sorocaba;   52507;  1926483; 36,690022;61,22163;309; 48,457350; 56,73981;100,00; 99,78; 80,05;7,968245e+00; 64,5539010; 32,223758
Elias Fausto;Campinas;Piracicaba;   17393;   632336; 36,355775;61,09059;310; 46,823956; 55,79937; 83,16;100,00;100,00;3,031550e+00; 87,3743159; 12,535514
Espírito Santo do Pinhal;Campinas;São João da Boa Vista;   44170;  1259012; 28,503781;61,09016;311; 48,457350; 58,93417; 88,11; 94,38; 94,38;3,019580e+00; 76,7723050; 24,667895
Águas da Prata;Campinas;São João da Boa Vista;    8104;   153773; 18,974951;61,08280;312; 51,179673; 61,28527; 94,51; 95,61; 93,07;6,701910e+00; 72,1267659; 14,178761
Macatuba;Bauru;Bauru;   17111;   608514; 35,562737;61,08034;313; 58,802178; 69,43574; 97,03;100,00; 80,00;0,000000e+00; 41,5680285; 41,806803
Palestina;São José do Rio Preto;São José do Rio Preto;   12542;   398720; 31,790783;61,07671;314; 43,194192; 54,85893; 82,31; 85,92; 80,15;6,337112e+00; 94,1326206; 41,710819
Buri;Itapeva;Itapeva;   19737;   368506; 18,670821;61,07293;315; 51,179673; 61,12853; 85,45; 86,08; 86,08;1,983444e+00; 90,5434644; 26,138371
Jaú;Bauru;Jaú;  146338;  4560371; 31,163273;61,04977;316; 54,809437; 56,26959; 96,89;100,00;100,00;4,849479e+00; 54,5246277; 21,055056
Limeira;Campinas;Limeira;  300911; 12154751; 40,393176;60,93559;317; 30,308530; 34,95298; 97,02;100,00;100,00;1,026970e+01; 82,9324170; 32,001075
Tapiratiba;Campinas;São João da Boa Vista;   13062;   326219; 24,974659;60,90965;318; 85,117967; 85,73668; 82,47; 79,98; 64,09;0,000000e+00; 54,2955326; 35,587038
São José dos Campos;São José dos Campos;São José dos Campos;  703219; 39829404; 56,638692;60,84744;319; 47,186933; 55,95611;100,00; 94,16; 94,15;1,648337e+00; 62,6829579; 30,995162
Várzea Paulista;Campinas;Jundiaí;  118917;  2658620; 22,356938;60,76934;320; 50,090744; 59,09091; 93,98; 99,09; 99,09;1,996374e+00; 65,4320988; 17,384627
Balbinos;Bauru;Bauru;    5188;    54394; 10,484580;60,75998;321; 54,083485; 64,42006; 32,18; 99,32; 99,32;3,876026e+00;100,0000000; 32,880289
Lorena;São José dos Campos;Guaratinguetá;   87980;  2439667; 27,729791;60,73474;322; 48,820327; 58,15047;100,00; 92,79; 92,79;1,851058e+00; 59,5901744; 31,885894
Ribeirão Corrente;Franca;Franca;    4644;    86851; 18,701766;60,73181;323; 50,635209; 60,34483; 77,62; 99,55; 99,55;3,792569e-01; 77,6377752; 20,137449
Itapuí;Bauru;Jaú;   13618;   621978; 45,673227;60,71131;324; 84,392015; 90,43887; 95,54; 84,56;  0,00;0,000000e+00; 96,3090238; 34,450587
Águas de Lindóia;Campinas;Bragança Paulista;   18509;   472984; 25,554271;60,68987;325; 62,794918; 62,06897; 99,10;100,00; 60,91;2,006577e+00; 72,4194985; 26,218997
Mongaguá;Santos;Santos;   54257;   986035; 18,173415;60,67019;326; 45,009074; 51,56740; 92,11; 87,26; 87,26;1,701509e+01; 87,6670485; 17,472933
Álvares Florence;São José do Rio Preto;Votuporanga;    3795;   105911; 27,908037;60,61013;327; 51,179673; 53,91850; 67,94; 80,00; 80,00;0,000000e+00;100,0000000; 51,842893
Mineiros do Tietê;Bauru;Jaú;   12812;   183029; 14,285748;60,59086;328; 51,724138; 56,11285; 95,53; 79,60; 79,60;8,595958e-01; 80,6414662; 40,658834
Gália;Marília;Marília;    6776;   137857; 20,344894;60,52864;329; 51,905626; 60,81505; 80,62;100,00;100,00;9,493599e-01; 64,6684485; 25,270675
Bananal;São José dos Campos;Cruzeiro;   10867;   202204; 18,607159;60,48128;330; 51,905626; 61,75549; 77,61; 87,28; 87,28;2,504452e+00; 99,7963599; 15,718344
Santa Rita do Passa Quatro;Região Administrativa Central;São Carlos;   27590;   641179; 23,239543;60,43782;331; 71,143376; 82,44514;100,00; 79,76; 34,82;4,059949e+00; 80,7051037; 30,568993
Ribeirão do Sul;Marília;Ourinhos;    4571;   141944; 31,053161;60,31005;332; 52,268603; 61,28527; 76,75; 93,95; 93,95;5,276756e-01; 77,7141403; 26,034708
Itaberá;Itapeva;Itapeva;   17879;   535071; 29,927345;60,26524;333; 51,361162; 61,12853; 75,12; 88,01; 88,01;2,276001e+00; 90,7343770; 25,481840
Hortolândia;Campinas;Campinas;  222186; 12928628; 58,188311;60,24680;334; 47,005445; 52,97806;100,00; 83,44; 83,44;1,375985e+00; 74,0358916; 39,698994
Indiana;Presidente Prudente;Presidente Prudente;    4931;    61216; 12,414520;60,21449;335; 91,833031; 99,84326; 85,53; 46,96; 46,96;0,000000e+00; 98,9563447; 11,633264
Cerquilho;Sorocaba;Itapetininga;   46733;  1743257; 37,302484;60,19538;336; 60,980036; 63,63636; 91,27; 82,66; 82,66;1,389323e+00; 63,6375207; 35,329801
Orlândia;Franca;São Joaquim da Barra;   43306;  1781347; 41,133954;60,17961;337; 74,047187; 75,23511; 98,50;100,00; 93,75;1,982797e+00; 17,9839633; 19,937802
Arealva;Bauru;Bauru;    8452;   213435; 25,252603;60,16821;338; 51,542650; 61,44201; 69,17; 89,46; 89,46;2,402609e+00; 95,5962836; 22,272134
Arandu;Itapeva;Itapeva;    6368;   119198; 18,718279;60,13962;339; 49,183303; 59,56113; 65,53;100,00;100,00;3,155477e+00; 70,5994654; 33,087614
Arapeí;São José dos Campos;Cruzeiro;    2509;    29090; 11,594261;60,10575;340; 52,450091; 62,06897; 84,71; 86,27; 86,27;2,603808e+00;100,0000000;  6,473163
Itu;Sorocaba;Sorocaba;  170157;  7572821; 44,504904;60,05622;341; 57,350272; 62,38245;100,00; 89,66; 89,66;1,724506e+00; 47,3335879; 32,338939
Mirassol;São José do Rio Preto;São José do Rio Preto;   58760;  1956637; 33,298792;60,00286;342; 44,283122; 49,84326; 95,89; 90,69; 72,55;1,318631e+01; 80,4887362; 33,091454
Bofete;Sorocaba;Botucatu;   11236;   164471; 14,637860;59,99518;343; 52,268603; 61,59875; 59,47; 93,13; 93,13;2,792357e+00; 99,9490900; 17,622668
Duartina;Bauru;Bauru;   12549;   251939; 20,076420;59,94506;344; 34,301270; 31,34796; 97,98; 99,64; 99,64;8,908723e-01; 93,3307878; 22,429548
Murutinga do Sul;Araçatuba;Andradina;    4453;    59608; 13,386032;59,92026;345; 82,032668; 85,26646; 57,61; 65,00; 65,00;2,828897e-01; 97,9126893; 26,257391
Panorama;Presidente Prudente;Dracena;   15619;   270175; 17,297842;59,86468;346; 78,584392; 78,52665; 96,22; 49,94; 49,94;0,000000e+00; 99,8981800; 25,808186
Cajobi;Barretos;Barretos;   10444;   152695; 14,620356;59,85711;347; 80,762250; 86,20690;100,00;100,00;  0,00;0,000000e+00; 85,9106529; 25,977117
Herculândia;Marília;Tupã;    9397;   302366; 32,176865;59,84932;348; 97,096189; 96,86520; 91,09; 39,50; 39,50;0,000000e+00;100,0000000; 14,743147
Registro;Registro;Registro;   56430;  1950928; 34,572532;59,81831;349; 39,564428; 45,14107; 96,49; 91,44; 91,44;3,670515e+00; 80,7305587; 30,069876
Nova Campina;Itapeva;Itapeva;    9504;   235565; 24,785880;59,80449;350; 52,994555; 62,22571; 54,16; 95,56; 95,56;1,164641e+00; 97,7854143; 18,985641
Barretos;Barretos;Barretos;  120638;  4443581; 36,834008;59,73570;351; 37,205082; 59,56113;100,00; 99,50; 99,50;1,180356e+00; 55,2882780; 25,650772
Potim;São José dos Campos;Guaratinguetá;   23360;   226293;  9,687200;59,71313;352; 92,377495; 85,73668; 75,83; 79,38;  0,00;0,000000e+00; 80,9469263; 63,433925
Cachoeira Paulista;São José dos Campos;Guaratinguetá;   32773;   591381; 18,044762;59,66599;353; 46,279492; 59,24765; 95,06; 84,73; 84,73;2,800395e+00; 83,5942472; 20,886125
Itaporanga;Itapeva;Itapeva;   15165;   309107; 20,382921;59,61988;354; 51,179673; 60,50157; 83,74; 84,34; 84,34;1,496939e+00; 91,3962072; 19,964678
Santa Gertrudes;Campinas;Rio Claro;   25637;  1571921; 61,314545;59,48922;355; 53,176044; 56,73981; 97,10; 77,35; 77,13;1,963521e+00; 79,9541810; 32,500192
Brodowski;Ribeirão Preto;Ribeirão Preto;   24092;   639372; 26,538768;59,47748;356; 58,257713; 71,31661;100,00; 84,55; 84,55;0,000000e+00; 47,9317806; 29,213699
Itapetininga;Sorocaba;Itapetininga;  160070;  4458857; 27,855669;59,23989;357; 49,001815; 58,30721; 93,31; 86,09; 86,09;3,052088e+00; 66,5775741; 31,490440
Canas;São José dos Campos;Guaratinguetá;    4975;   256730; 51,604020;59,16584;358; 50,090744; 61,59875; 93,24; 78,64; 78,64;3,652257e+00; 81,7105766; 25,754434
Marabá Paulista;Presidente Prudente;Presidente Prudente;    5611;   120632; 21,499198;59,15714;359; 50,453721; 60,18809; 37,12;100,00;100,00;2,171716e-01; 99,1090747; 26,169085
Penápolis;Araçatuba;Araçatuba;   62738;  1580120; 25,186012;59,15138;360; 61,887477; 69,74922; 95,51; 80,00; 80,00;2,867035e+00; 64,1848034; 19,012516
Mogi Guaçu;Campinas;Campinas;  149396;  5557420; 37,199256;59,05970;361; 69,691470; 74,13793; 94,94; 80,00; 60,00;2,146940e+00; 59,2338043; 32,327421
Mirandópolis;Araçatuba;Andradina;   29315;   616045; 21,014668;59,01200;362; 80,399274; 83,22884; 98,41; 80,85; 69,70;4,532526e-01; 25,6713758; 33,383245
Avanhandava;Araçatuba;Araçatuba;   13112;   428072; 32,647346;58,99179;363; 71,687840; 80,72100; 84,55; 80,00; 80,00;1,268390e+00; 53,6464299; 20,060662
Lençóis Paulista;Bauru;Bauru;   67185;  2569703; 38,248166;58,93150;364; 69,328494; 74,76489; 97,76; 87,21; 75,61;2,066402e+00; 34,9879089; 29,724334
Morungaba;Campinas;Jundiaí;   13232;   424901; 32,111623;58,91726;365; 41,197822; 44,98433; 86,13; 98,37; 98,37;1,243414e+00; 75,7795596; 25,262996
Anhembi;Sorocaba;Botucatu;    6484;   154450; 23,820173;58,91623;366; 51,361162; 60,81505; 76,84;100,00;100,00;4,389801e+00; 63,3956981; 14,528143
Tatuí;Sorocaba;Itapetininga;  118939;  3841153; 32,295151;58,86536;367; 47,731397; 56,89655;100,00; 86,39; 77,01;3,157443e+00; 66,0048365; 33,732627
Marapoama;São José do Rio Preto;Catanduva;    2949;   173054; 58,682265;58,80290;368; 87,840290;100,00000; 97,36;100,00;  0,00;3,911833e-02; 49,0899835; 36,093834
Suzanápolis;Araçatuba;Andradina;    3836;   260620; 67,940563;58,79204;369; 86,932849; 87,30408; 66,48; 56,69; 56,69;6,784842e-01;100,0000000; 15,560931
Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;  682302; 35315843; 51,759841;58,78003;370; 46,460980; 42,63323; 99,19;100,00; 99,03;3,456199e-01; 29,9350897; 52,645320
Serra Negra;Campinas;Bragança Paulista;   28742;   720861; 25,080405;58,73825;371; 47,005445; 56,42633; 78,30; 81,27; 81,27;1,439991e+01; 94,3871707; 16,847117
Vinhedo;Campinas;Campinas;   75129;  8729936;116,199284;58,73204;372; 39,382940; 51,72414; 92,02; 88,54; 88,54;6,919126e+00; 66,8321242; 35,898027
São Sebastião da Grama;Campinas;São João da Boa Vista;   12317;   326759; 26,529106;58,69490;373; 48,094374; 57,52351;100,00; 80,11; 80,11;6,484386e+00; 63,8920708; 33,344851
Praia Grande;Santos;Santos;  310024;  6688614; 21,574504;58,67373;374; 46,279492; 51,25392; 91,27; 68,68; 68,68;1,666955e+01;100,0000000; 26,556861
Mirante do Paranapanema;Presidente Prudente;Presidente Prudente;   18130;   412278; 22,740099;58,64969;375; 50,816697; 60,18809; 58,17; 87,90; 87,90;5,825108e+00; 94,0944381; 24,303156
Tanabi;São José do Rio Preto;São José do Rio Preto;   25723;   938476; 36,483925;58,62581;376; 80,580762; 81,97492; 90,36;100,00;  0,00;0,000000e+00;100,0000000; 16,090762
Cosmópolis;Campinas;Campinas;   69086;  1575661; 22,807240;58,53899;377; 73,502722; 83,69906; 94,37; 98,31;  0,00;1,120535e+00; 61,7156676; 55,593949
Piracicaba;Campinas;Piracicaba;  397322; 21896872; 55,111149;58,47946;378; 32,304900; 38,08777;100,00;100,00;100,00;1,666625e+01; 39,9643630; 40,812409
Nova Aliança;São José do Rio Preto;São José do Rio Preto;    6733;   190535; 28,298678;58,43140;379; 82,214156; 90,12539;100,00; 79,85; 59,95;0,000000e+00; 20,5040092; 34,807648
Sorocaba;Sorocaba;Sorocaba;  659871; 31852858; 48,271341;58,42899;380; 38,112523; 35,42320; 98,49; 84,76; 82,42;6,553170e+00; 60,4429171; 61,230131
Santo Antônio de Posse;Campinas;Campinas;   22801;  1043905; 45,783299;58,41756;381; 73,502722; 78,52665; 99,63; 86,12; 68,89;9,343612e-01; 38,8697976; 20,866928
Araraquara;Região Administrativa Central;Araraquara;  230770;  9009108; 39,039338;58,33914;382; 43,920145; 48,43260; 96,98;100,00;100,00;6,604946e+00; 36,4515718; 34,323889
Palmital;Marília;Assis;   22196;   690855; 31,125203;58,29535;383; 65,517241; 68,65204; 91,70; 73,24; 73,24;1,373824e+00; 66,0175640; 26,622130
Valparaíso;Araçatuba;Araçatuba;   25632;   989934; 38,621021;58,26819;384; 66,424682; 75,86207;100,00; 80,00; 80,00;8,238394e-01; 33,7406135; 29,294325
Tietê;Sorocaba;Sorocaba;   41022;  1739795; 42,411267;58,19998;385; 67,695100; 74,13793; 90,91; 99,80; 59,88;7,320979e-01; 51,1900216; 21,254703
Getulina;Bauru;Lins;   11362;   195118; 17,172857;58,16744;386; 85,117967; 91,84953; 77,12;100,00; 92,31;2,198327e-01; 18,7221586;  0,000000
Barrinha;Ribeirão Preto;Ribeirão Preto;   31921;   468976; 14,691770;58,16738;387; 90,744102; 93,41693; 98,89; 79,90;  0,00;0,000000e+00; 61,8174876; 40,570529
Laranjal Paulista;Sorocaba;Botucatu;   27890;  1007472; 36,123055;58,11718;388; 49,364791; 59,87461; 90,51; 93,47; 93,47;5,906322e+00; 51,7627593; 20,578976
Paranapanema;Itapeva;Itapeva;   19730;   593650; 30,088697;58,11654;389; 46,460980; 56,73981; 70,17; 81,95; 81,95;3,408305e+00;100,0000000; 24,253244
Tremembé;São José dos Campos;Taubaté;   45904;   768606; 16,743770;58,10453;390; 41,379310; 49,84326;100,00; 81,64; 81,64;4,373624e+00; 82,3978618; 23,562159
Ipeúna;Campinas;Rio Claro;    7177;   697972; 97,251219;58,04372;391; 60,072595; 69,90596; 86,07; 69,27; 69,27;2,339195e+00; 62,6320479; 44,789987
Tapiraí;Sorocaba;Sorocaba;    7973;   145686; 18,272419;57,91651;392; 45,190563; 51,25392; 67,68; 93,68; 93,68;4,890595e-01; 92,7453226; 18,613223
Bom Sucesso de Itararé;Itapeva;Itapeva;    3888;    52971; 13,624228;57,90193;393; 51,724138; 61,59875; 58,04; 95,62; 95,62;2,172487e+00; 79,3814433; 19,058589
Pilar do Sul;Sorocaba;Sorocaba;   28718;   640684; 22,309492;57,76680;394; 49,364791; 59,09091; 88,84; 73,64; 73,64;3,153507e+00; 88,4434262; 25,961760
Itapeva;Itapeva;Itapeva;   93570;  2371573; 25,345442;57,72466;395; 49,364791; 58,77743; 92,06; 82,04; 79,93;2,699411e+00; 65,1011837; 31,824464
Louveira;Campinas;Jundiaí;   45922; 13805962;300,639389;57,71043;396; 62,431942; 80,40752; 96,54; 70,80; 70,80;4,876856e+00; 54,2191676; 21,607924
Américo Brasiliense;Região Administrativa Central;Araraquara;   39189;   948260; 24,197096;57,67482;397; 78,947368; 87,61755;100,00; 82,20;  0,00;9,527315e+00; 89,5379916; 13,568302
Itaju;Bauru;Jaú;    3703;   107728; 29,092087;57,48693;398; 90,562613; 93,57367; 68,75; 80,95; 80,95;0,000000e+00; 33,0151457; 12,093988
Jundiaí;Campinas;Jundiaí;  409497; 41227953;100,679499;57,39287;399; 31,578947; 29,78056; 99,07;100,00;100,00;2,996446e+00; 67,7357770; 27,981264
Florínia;Marília;Assis;    2758;   231650; 83,992023;57,35261;400;  8,166969; 27,42947; 85,96;100,00;100,00;2,229257e+00; 92,1725850; 42,862628
Itararé;Itapeva;Itapeva;   50379;   875364; 17,375573;57,32671;401; 52,087114; 61,91223; 89,36; 93,02; 53,86;5,680200e+00; 80,7560137; 21,938109
Paulínia;Campinas;Campinas;  102499; 35346490;344,847169;57,30007;402; 39,201452; 53,60502;100,00; 81,86; 80,28;1,738585e+00; 67,9521446; 33,763342
Viradouro;Barretos;Barretos;   18654;   356142; 19,091991;57,26259;403; 87,114338; 89,34169; 97,85;100,00; 12,21;0,000000e+00; 49,5736286; 22,011057
Pedreira;Campinas;Campinas;   46598;  1128534; 24,218507;57,25885;404; 64,428312; 67,39812; 97,57; 78,74; 61,01;2,059073e+00; 51,4318442; 35,433464
Garça;Marília;Marília;   44582;  1159125; 25,999843;57,17714;405; 47,186933; 50,62696; 90,90; 79,99; 79,99;5,751494e+00; 62,2629502; 40,708746
Águas de São Pedro;Campinas;Piracicaba;    3268;   125146; 38,294370;57,16548;406; 33,393829; 44,82759; 97,19; 95,90; 95,90;1,094672e+01; 60,9901998; 18,175536
Santo Antônio do Jardim;Campinas;São João da Boa Vista;    6029;   137160; 22,750041;57,15204;407; 50,998185; 60,81505; 61,34; 96,32; 96,32;9,132189e-01; 69,5430826; 20,966751
Pardinho;Sorocaba;Botucatu;    6259;   283090; 45,229270;57,12536;408; 50,090744; 60,81505; 75,16; 86,31; 86,31;2,950260e+00; 76,4541173; 18,912693
Itatiba;Campinas;Jundiaí;  116503;  5566364; 47,778718;57,11164;409; 44,283122; 53,76176; 87,77; 82,61; 82,61;3,217484e+00; 73,9722540; 28,668510
Boituva;Sorocaba;Itapetininga;   57910;  2696866; 46,569953;57,07018;410; 51,361162; 61,91223; 84,14; 73,84; 73,84;2,862906e+00; 85,6688303; 22,936343
Pitangueiras;Ribeirão Preto;Ribeirão Preto;   38889;  1183500; 30,432770;56,99279;411; 95,644283; 96,23824; 98,83; 96,44;  0,00;0,000000e+00; 61,8174876;  6,972280
Jumirim;Sorocaba;Sorocaba;    3237;   103933; 32,107816;56,92239;412; 67,513612; 77,27273; 97,65; 55,36; 55,36;2,640386e-01; 80,8960163; 21,062735
Ipuã;Franca;São Joaquim da Barra;   15932;   379295; 23,807118;56,91544;413; 80,580762; 85,57994;100,00; 60,00; 60,00;1,091665e+00; 32,0733104; 35,997850
Angatuba;Itapeva;Itapeva;   24634;   963361; 39,106966;56,87151;414; 48,820327; 58,77743; 80,24; 82,68; 82,68;3,628542e+00; 77,0523100; 21,093450
Pirassununga;Campinas;Limeira;   75474;  2605700; 34,524472;56,86710;415; 55,353902; 49,84326; 91,63; 80,81; 80,56;4,158109e+00; 58,9410717; 33,640482
Bragança Paulista;Campinas;Bragança Paulista;  164163;  5672443; 34,553724;56,84785;416; 45,553539; 56,26959; 95,02; 70,29; 70,29;4,497368e+00; 85,3379152; 27,524380
Guararapes;Araçatuba;Araçatuba;   32654;   987256; 30,233846;56,75955;417; 90,925590; 87,93103; 92,55; 48,50; 40,12;7,159913e-01; 80,5141912; 12,819627
Poá;São Paulo;São Paulo;  115488;  4216622; 36,511343;56,75762;418; 31,760436; 33,85580;100,00; 87,24; 75,51;3,405814e+00; 78,6814306; 43,607464
Monte Mor;Campinas;Campinas;   57240;  2917997; 50,978284;56,75619;419; 48,820327; 58,15047;100,00; 72,60; 72,60;4,409588e+00; 80,6796487; 16,789526
Santa Bárbara d'Oeste;Campinas;Campinas;  191889;  5494890; 28,635774;56,72259;420; 59,528131; 62,85266;100,00; 99,59; 55,39;1,399043e+01; 34,9242714; 27,505183
Serra Azul;Ribeirão Preto;Ribeirão Preto;   13810;   165106; 11,955539;56,70863;421; 52,087114; 61,59875; 56,01; 90,93; 90,93;3,903701e+00; 75,9450172; 22,264455
São Luís do Paraitinga;São José dos Campos;Taubaté;   10740;   172868; 16,095717;56,63543;422; 51,542650; 60,65831; 57,69; 87,26; 87,26;3,176610e+00; 90,8871070; 14,608769
Iporanga;Itapeva;Itapeva;    4299;    50487; 11,743894;56,55592;423; 46,823956; 51,88088; 52,27;100,00;100,00;1,214361e+00; 92,6562301;  7,601935
Santa Cruz das Palmeiras;Campinas;São João da Boa Vista;   33455;   501910; 15,002541;56,52880;424; 86,751361; 92,47649; 96,89;100,00;  0,00;2,464586e-03; 42,6116838; 33,498426
Jacupiranga;Registro;Registro;   17900;   604720; 33,783240;56,40227;425; 41,560799; 46,70846; 65,65; 90,91; 85,11;3,093504e+00; 88,9525264; 29,232896
Cabrália Paulista;Bauru;Bauru;    4352;    84475; 19,410616;56,25694;426; 71,143376; 73,66771; 88,12; 61,52; 61,52;0,000000e+00; 67,8885071; 26,195961
Joanópolis;Campinas;Bragança Paulista;   12947;   207714; 16,043408;56,23087;427; 50,090744; 60,34483; 69,52; 69,88; 69,22;8,465514e+00;100,0000000; 22,325885
Caraguatatuba;São José dos Campos;Caraguatatuba;  116786;  2928286; 25,073947;56,21793;428; 36,479129; 42,78997; 80,29; 85,63; 85,63;4,309043e+00; 88,6343388; 25,980957
Conchas;Sorocaba;Botucatu;   17638;   344263; 19,518256;56,19730;429; 48,457350; 59,56113; 71,73; 88,75; 88,75;5,213818e+00; 76,2122948; 10,903786
Indaiatuba;Campinas;Campinas;  239602; 13489932; 56,301417;56,17824;430; 47,912886; 49,05956; 98,36; 85,00; 44,04;1,225387e+01; 76,0722922; 36,727329
Divinolândia;Campinas;São João da Boa Vista;   11384;   299836; 26,338370;56,16240;431; 49,546279; 60,03135; 74,24; 84,53; 76,01;2,465168e+00; 81,2523864; 21,223988
Cafelândia;Bauru;Lins;   17645;   468342; 26,542477;56,08437;432; 76,950998; 83,85580; 86,65;100,00;  0,00;0,000000e+00; 63,6884307; 37,529755
Cananéia;Registro;Registro;   12609;   258772; 20,522801;56,07288;433; 38,112523; 44,35737; 84,13; 82,21; 82,21;4,726668e+00; 93,7126130; 19,123858
Redenção da Serra;São José dos Campos;Taubaté;    3908;    57031; 14,593398;56,05275;434; 51,905626; 62,22571; 46,26; 89,67; 89,67;1,953167e+00; 96,3981163; 10,339400
Serrana;Ribeirão Preto;Ribeirão Preto;   43790;   941115; 21,491551;55,86250;435; 84,029038; 90,43887;100,00;100,00;  0,00;0,000000e+00; 19,9058165; 52,526300
Pompéia;Marília;Marília;   21674;   825898; 38,105472;55,80675;436; 38,838475; 60,50157; 93,04; 80,00; 80,00;2,111203e+00; 65,0757286; 26,887046
Ibirarema;Marília;Assis;    7540;   180413; 23,927454;55,78772;437; 57,713249; 66,30094; 92,37; 84,92; 84,92;0,000000e+00; 34,8606338; 25,216924
São Miguel Arcanjo;Sorocaba;Itapetininga;   32910;   676363; 20,551899;55,76420;438; 50,453721; 60,03135; 71,50; 77,91; 77,91;3,439583e+00; 77,6632302; 27,205713
Riolândia;São José do Rio Preto;Votuporanga;   12086;   226354; 18,728612;55,72955;439; 18,874773; 35,89342; 74,04; 91,78; 91,78;3,937803e+00; 93,6362479; 35,894187
Pariquera-Açu;Registro;Registro;   19537;   526936; 26,971183;55,56046;440; 39,564428; 45,29781; 73,91; 89,89; 89,89;5,286345e+00; 77,5359552; 23,109115
Barão de Antonina;Itapeva;Itapeva;    3406;    79652; 23,385790;55,55068;441; 52,631579; 62,53918; 75,39; 77,41; 77,41;1,841184e+00; 84,6633575; 12,520157
Olímpia;Barretos;Barretos;   54037;  2072343; 38,350445;55,52730;442; 63,702359; 62,53918; 94,44; 80,00; 23,97;9,089584e+00; 72,2794960; 38,197804
