municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;inv_per_capita_norm;perdas_norm;desempenho_norm
Parisi;São José do Rio Preto;Votuporanga;    2150;    48813; 22,703721;64,78008;183; 74,773140; 80,87774; 80,86; 79,62; 79,62;0,000000e+00; 81,9269441; 40,562850
Patrocínio Paulista;Franca;Franca;   14351;   900987; 62,782175;64,75560;184; 87,295826; 86,83386;100,00; 79,72; 79,72;0,000000e+00; 62,9247805; 21,550334
Iracemápolis;Campinas;Limeira;   23264;  1309627; 56,294145;64,74429;185; 66,061706; 76,48903; 98,97;100,00;100,00;0,000000e+00; 38,5007000; 37,932888
São João da Boa Vista;Campinas;São João da Boa Vista;   90089;  2923319; 32,449234;64,73021;186; 46,460980; 57,05329;100,00; 95,99; 95,99;2,014454e+00; 83,3906071; 36,942333
Sebastianópolis do Sul;São José do Rio Preto;Votuporanga;    3411;   311501; 91,322486;64,70217;187; 46,823956; 55,17241; 83,60;100,00;100,00;1,916523e+00;100,0000000; 30,104431
Mombuca;Campinas;Piracicaba;    3470;    92901; 26,772622;64,69037;188; 48,275862; 58,77743; 92,12; 85,83; 85,83;3,866802e+01; 91,4471172; 16,574522
Itajobi;São José do Rio Preto;Catanduva;   15246;  1191836; 78,173685;64,68571;189; 72,776770; 75,70533;100,00; 80,00; 76,80;0,000000e+00; 57,9610538; 54,242494
Campina do Monte Alegre;Itapeva;Itapeva;    5963;   105998; 17,775952;64,68032;190; 51,905626; 61,12853; 89,88; 95,15; 95,15;1,038685e+00;100,0000000; 23,189741
Bocaina;Bauru;Jaú;   12040;   225211; 18,705233;64,66324;191; 51,179673; 61,28527;100,00; 98,94; 98,94;2,055000e+00; 77,4468627; 27,459111
Pereira Barreto;Araçatuba;Andradina;   25790;   817570; 31,701047;64,64120;192; 80,580762; 79,15361; 93,06; 80,00; 80,00;1,607022e-01; 71,3249332; 32,849574
Santa Rosa de Viterbo;Ribeirão Preto;Ribeirão Preto;   26067;   768791; 29,492884;64,63953;193; 51,724138; 61,28527; 96,57; 98,24; 98,24;1,808479e+00; 86,4579356; 22,790448
Santo Antônio da Alegria;Ribeirão Preto;Ribeirão Preto;    6829;   145308; 21,278079;64,62389;194; 86,025408; 90,12539;100,00; 86,05; 82,33;0,000000e+00; 34,9497264; 37,510558
