"ranking","municipio","score","regiao_governo","regiao_administrativa","pib2017","pib_per_capita2017","tipo_prestador","populacao","inv_per_capita","tarifa_agua","desempenho","perdas","consumo_agua","atendimento","tarifa_esgoto","coleta","tratamento","tarifa_agua_norm","tarifa_esgoto_norm","inv_per_capita_norm","perdas_norm","desempenho_norm"
25,"Novais",71.1405280615554,"Catanduva","São José do Rio Preto",60081,10.87045413425,"Administração pública",5527,0,0.24,100.32,0,348.05,91.05,0.21,92.31,61.54,97.8221415607985,96.7084639498433,0,100,29.6936189818014
26,"Bálsamo",71.1209956692885,"São José do Rio Preto","São José do Rio Preto",203308,22.823080377189,"Administração pública",8908,0.476428730264621,0.59,83.64,0,192.8,100,0.47,80.77,80.77,91.470054446461,92.6332288401254,0.0351174512736624,100,23.2895646164478
27,"Bariri",70.9234350145718,"Jaú","Bauru",1146339,33.129269984394,"Administração pública",34602,1.8774634592832,1.03,99.28,13.3,199.06,99.91,0.76,91.7,91.7,83.4845735027223,88.0877742946709,0.138387396395761,83.0724194985363,29.2943254242494
28,"Clementina",70.8877261766146,"Araçatuba","Araçatuba",245147,29.7003876908166,"Administração pública",8254,30.7521069405099,1.48,115.7,18.31,143.88,95.31,0.96,98.48,98.48,75.3176043557169,84.9529780564263,2.26673067437807,76.6959399261805,35.598556400215
29,"Holambra",70.6305858698934,"Campinas","Campinas",908165,64.8133742506423,"Empresa privada",14012,254.71569723575,2.11,140.44,20.96,282.96,95,1.98,100,100,63.8838475499093,68.9655172413793,18.7750350012375,73.3231513300242,45.0971358365968
30,"Reginópolis",70.5801415864521,"Bauru","Bauru",147144,16.2733908427339,"Administração pública",9042,0,1.02,122.35,18.25,121.21,94.1,0.77,94.57,89.45,83.6660617059891,87.9310344827586,0,76.7723049509991,38.1517315518698
31,"Braúna",70.5406512240765,"Araçatuba","Araçatuba",94531,17.0111570991542,"Administração pública",5557,0,1.66,194.17,0,161.06,88.15,1.59,81.66,81.66,72.0508166969147,75.0783699059561,0,100,65.7260231897412
32,"João Ramalho",69.5904047829293,"Tupã","Marília",179068,40.0778871978514,"Administração pública",4468,0,1.71,283.44,38.45,138.77,85.38,0.85,81.23,81.23,71.1433756805808,86.6771159874608,0,51.0627465953926,100
33,"Rancharia",69.4854123129185,"Presidente Prudente","Presidente Prudente",1323712,44.3885852251769,"Administração pública",29821,11.7892751279978,0.85,82.39,30.44,174.26,93.47,0.57,99.83,99.83,86.7513611615245,91.0658307210031,0.868984736981148,61.2574774086802,22.8096444751593
34,"Américo de Campos",69.3646784001322,"Votuporanga","São José do Rio Preto",104697,17.5460030165913,"Administração pública",5967,13.5661568166555,0.65,85.72,4.98,246.04,85.63,0.48,83.84,83.84,90.3811252268602,92.4764890282132,0.999958274378523,93.6617029400534,24.0881517315519
35,"Taiaçu",69.3078659681323,"Barretos","Barretos",92579,14.8007993605116,"Administração pública",6255,0,0.73,113.56,30.99,190.65,100,0.55,89.41,89.41,88.929219600726,91.3793103448276,0,60.557464681176,34.7769331183291
36,"Ituverava",69.0446633996129,"Franca","Franca",1619182,39.0974549669194,"Administração pública",41414,9.01824534833405,1.17,103.92,37.67,248.83,100,0.79,100,100,80.9437386569873,87.6175548589342,0.664732774234986,52.0554919180349,31.0757889887123
37,"Catanduva",68.9198630460707,"Catanduva","São José do Rio Preto",3974659,32.932521894756,"Administração pública",120691,24.8007245276792,1.97,146.42,8.6,208.58,98.28,2.45,100,86.78,66.4246823956443,61.5987460815047,1.82805565623332,89.0543464426626,47.3930737925209
38,"Mirassolândia",68.9185134186273,"São José do Rio Preto","São José do Rio Preto",110125,23.145229087852,"Administração pública",4758,0,0.12,25.39,0,411.06,100,0.07,75.76,75.76,100,98.9028213166144,0,100,0.925286032404208
39,"Borá",68.8705881321347,"Tupã","Marília",74165,88.3969010727056,"Soc. de Econ. Mista com Adm. Pública",839,11.8997727272727,2.69,112.85,0,153.75,100,2.41,100,100,53.3575317604356,62.2257053291536,0.877129489410828,100,34.5043384780772
40,"Adolfo",68.7769415369163,"São José do Rio Preto","São José do Rio Preto",99735,27.6350789692436,"Soc. de Econ. Mista com Adm. Pública",3609,48.2185886306357,2.7,105.91,0,185,99.89,2.44,100,100,53.1760435571688,61.7554858934169,3.55418099110145,100,31.8398218536436
41,"Santópolis do Aguapeí",68.7721236818883,"Araçatuba","Araçatuba",60817,12.9756774055899,"Soc. de Econ. Mista com Adm. Pública",4687,347.735707347973,2.7,73.94,0.03,143.77,89.93,2.43,100,100,53.1760435571688,61.9122257053291,25.6315183849688,99.9618174875907,19.5653843200491
42,"Ouroeste",68.674969551293,"Fernandópolis","São José do Rio Preto",439499,44.4072951399414,"Soc. de Econ. Mista com Adm. Pública",9897,22.4335992925224,2.83,120.39,0.64,172.93,100,2.53,100,100,50.8166969147005,60.3448275862069,1.65357540383941,99.1854397352679,37.3992167703294
43,"São João das Duas Pontes",68.6586963523658,"Fernandópolis","São José do Rio Preto",42032,16.159938485198,"Soc. de Econ. Mista com Adm. Pública",2601,63.1596503496503,2.77,111.99,2.13,153.39,99.96,2.47,100,100,51.9056261343013,61.2852664576802,4.6554831871358,97.2890416189385,34.1741534208708
44,"Paranapuã",68.4947876760943,"Jales","São José do Rio Preto",98637,24.3488027647494,"Soc. de Econ. Mista com Adm. Pública",4051,16.295444471805,2.74,111.33,0.46,158.78,100,2.49,100,100,52.4500907441016,60.9717868338558,1.20113343480238,99.4145348097238,33.9207555862704
45,"Santana da Ponte Pensa",68.4358432470573,"Jales","São José do Rio Preto",34554,22.2212218649518,"Soc. de Econ. Mista com Adm. Pública",1555,90.4613271400133,2.69,117.75,0,174.59,88.85,2.41,100,100,53.3575317604356,62.2257053291536,6.66788345494149,100,36.3856254319281
46,"Queiroz",68.2845677144344,"Tupã","Marília",368857,112.903887358433,"Soc. de Econ. Mista com Adm. Pública",3267,35.6286034019696,2.72,97.91,0,147.15,100,2.42,100,100,52.8130671506352,62.0689655172414,2.62617609820123,100,28.7683329493972
47,"Santa Albertina",68.2281449100141,"Jales","São José do Rio Preto",194015,32.3412235372562,"Soc. de Econ. Mista com Adm. Pública",5999,8.59871683630903,2.66,100.67,0.97,170.7,100,2.38,100,100,53.9019963702359,62.6959247648903,0.633809424858537,98.7654320987654,29.8279966213622
48,"Guarani d'Oeste",68.2232730733373,"Fernandópolis","São José do Rio Preto",34008,16.8606841844323,"Soc. de Econ. Mista com Adm. Pública",2017,81.1391258741259,2.9,105.15,0,170.55,99.15,2.58,100,100,49.546279491833,59.5611285266458,5.98074616047932,100,31.5480304077402
49,"Colina",68.2146766380572,"Barretos","Barretos",948979,51.6423051806704,"Administração pública",18376,19.586152299163,1.47,110.35,25.47,189.84,88.18,1.31,100,100,75.4990925589837,79.4670846394984,1.44369074598493,67.5830469644903,33.5444981955003
50,"Pontes Gestal",68.1561693554744,"Votuporanga","São José do Rio Preto",152387,58.7459521973786,"Soc. de Econ. Mista com Adm. Pública",2594,35.2559914629414,2.81,127.18,0,176,100,2.53,95.56,95.56,51.1796733212341,60.3448275862069,2.59871095854532,100,40.0061429778085
51,"Meridiano",68.0948953538285,"Fernandópolis","São José do Rio Preto",289767,74.4519527235355,"Soc. de Econ. Mista com Adm. Pública",3892,59.5412474012474,2.77,109.51,3.43,170.02,99.17,2.51,99.89,99.89,51.9056261343013,60.6583072100313,4.38877154453935,95.6344660812015,33.2219918605544
52,"Populina",68.0308892295172,"Fernandópolis","São José do Rio Preto",98374,23.2014150943396,"Soc. de Econ. Mista com Adm. Pública",4240,36.1432799808887,2.68,90.66,0,161.68,99.52,2.39,100,100,53.5390199637024,62.5391849529781,2.66411278953352,100,25.984796129924
53,"Santa Ernestina",68.0061634278745,"Araraquara","Região Administrativa Central",92068,16.2606852702225,"Soc. de Econ. Mista com Adm. Pública",5662,50.8328372839066,2.75,108.53,5.16,163.2,100,2.44,100,100,52.2686025408348,61.7554858934169,3.74687665336239,93.4326078655976,32.8457344697842
54,"Dracena",67.9978082152992,"Dracena","Presidente Prudente",1166835,25.1885631638028,"Administração pública",46324,16.7678625150421,2.15,114.5,19.01,167.64,100,1.49,96,96,63.1578947368421,76.6457680250784,1.23595525926491,75.8050146366297,35.1378330645781
55,"Andradina",67.9526655579059,"Andradina","Araçatuba",1971995,34.3852659110724,"Empresa privada",57350,178.598087617313,2.53,126.49,21.47,176.62,96.89,2.24,100,100,56.2613430127042,64.8902821316614,13.164423639999,72.6740486190658,39.7412270598172
56,"Regente Feijó",67.8928512387274,"Presidente Prudente","Presidente Prudente",655921,32.8206654991243,"Soc. de Econ. Mista com Adm. Pública",19985,58.4444320214669,2.73,99.43,3.62,146.85,99.86,2.45,100,100,52.6315789473684,61.5987460815047,4.30792553713284,95.3926435026091,29.351915841204
57,"Dolcinópolis",67.826481313421,"Jales","São José do Rio Preto",44854,20.999063670412,"Soc. de Econ. Mista com Adm. Pública",2136,17.088801321378,2.89,109.24,0.09,177.38,100,2.64,100,100,49.7277676950998,58.6206896551724,1.25961158428768,99.8854524627721,33.1183291100361
58,"Severínia",67.8022763438144,"Barretos","Barretos",233916,13.6673093777388,"Administração pública",17115,6.49238227146814,1.02,82.73,33.98,274.9,100,0.71,95.33,94.38,83.6660617059891,88.871473354232,0.478551992323463,56.7519409443808,22.9401827535898
59,"Nova Independência",67.7555878871106,"Andradina","Araçatuba",134231,35.8427236315087,"Administração pública",3745,8.98016997167139,0.44,27.02,27.65,182.68,100,0.34,93.08,93.08,94.1923774954628,94.6708463949843,0.661926247046891,64.8084510627466,1.5511018966444
60,"Cândido Mota",67.705208887132,"Assis","Marília",1005667,32.1679621277549,"Administração pública",31263,4.83266051518647,1.47,95.1,24.59,182.91,93.77,1.3,98,98,75.4990925589837,79.6238244514107,0.356214286384348,68.7030673284969,27.6894724717807
61,"Irapuã",67.6755003553146,"Catanduva","São José do Rio Preto",149375,18.9610307184565,"Soc. de Econ. Mista com Adm. Pública",7878,31.6492087690563,2.76,125.26,0,153.77,87.78,2.5,99.56,99.56,52.0871143375681,60.8150470219436,2.33285584221585,100,39.2689856407894
62,"José Bonifácio",67.6111252454645,"São José do Rio Preto","São José do Rio Preto",1389991,38.3996629648047,"Administração pública",36198,0,0.84,119.96,20.72,266.18,90.6,0.9,83.3,83.3,86.9328493647913,85.8934169278997,0,73.6286114292987,37.2341242417262
63,"Guaraci",67.5874030932603,"Barretos","Barretos",376680,34.3560744253922,"Administração pública",10964,0,1.06,89.14,13.42,191.42,89.97,0.7,85.22,85.22,82.940108892922,89.0282131661442,0,82.9196894488991,25.4012132381172
64,"Brotas",67.5873679417231,"Rio Claro","Campinas",804016,33.7000586805264,"Administração pública",23858,27.67592558871,1.46,96.13,33.79,192.4,100,1.41,100,100,75.6805807622505,77.8996865203762,2.03998605998258,56.9937635229731,28.0849266682024
65,"Guapiaçu",67.5531919113489,"São José do Rio Preto","São José do Rio Preto",528980,25.632601637835,"Administração pública",20637,0,1.23,199.69,37.29,201.67,88.43,0.97,83.48,83.48,79.8548094373866,84.7962382445141,0,52.5391370752195,67.8453505336712
66,"Santa Clara d'Oeste",67.539478485274,"Jales","São José do Rio Preto",67158,31.4704779756326,"Soc. de Econ. Mista com Adm. Pública",2134,31.316284230406,2.83,102.26,2.33,165.96,100,2.57,100,100,50.8166969147005,59.717868338558,2.30831605164243,97.0344915362098,30.4384550410812
67,"Pongaí",67.5140234893089,"Lins","Bauru",76270,21.9166666666667,"Soc. de Econ. Mista com Adm. Pública",3480,19.2113432400932,2.78,102.95,0.23,172.66,96.53,2.55,100,100,51.7241379310345,60.0313479623824,1.41606365712004,99.7072674048619,30.7033709590724
68,"Vitória Brasil",67.4952333600803,"Jales","São José do Rio Preto",33787,18.4326241134752,"Soc. de Econ. Mista com Adm. Pública",1833,33.9643402399128,2.75,133.36,2.07,166.62,89.59,2.44,97.05,97.05,52.2686025408348,61.7554858934169,2.50350364629511,97.3654066437572,42.3788681563388
69,"General Salgado",67.4708611689087,"Araçatuba","Araçatuba",259863,23.7296137339056,"Soc. de Econ. Mista com Adm. Pública",10951,26.361672489886,2.79,103.98,0.78,160.26,100,2.5,97.68,97.68,51.5426497277677,60.8150470219436,1.94311276870651,99.0072546773578,31.0988251554941
70,"Ribeirão dos Índios",67.3760136676206,"Presidente Prudente","Presidente Prudente",37723,16.8181007579135,"Soc. de Econ. Mista com Adm. Pública",2243,9.22764256847777,2.62,109.03,2.63,141.23,90.53,2.33,100,100,54.6279491833031,63.4796238244514,0.680167394794399,96.6526664121166,33.0377025262996
