"tipo_prestador","n","avg_pop","median_pop","media_ponderada","media_simples"
"Soc. de Econ. Mista com Adm. Pública",371,80433.8814016173,11073,47.9764317344594,52.2651087436354
"Administração pública",201,62447.2388059701,20637,49.9800149679884,51.4121543530805
"Empresa privada",22,70466.7727272727,30042.5,52.4570037702322,51.4953860064899
